剧情编号,角色左,角色右,高亮方 右/左/无/皆,背景图片,背景音乐,播放音效,PlotShock,调用函数,选项,内容
,,,左,,,,,ScreenBlack,,"Master Xie, thank you for your guidance! From today on, I will earnestly mend my ways and diligently practice. I will not disappoint your teachings!"
,杨思迟,顾游年,左,,,,,,,Huh…Scared me to death \nAlmost thought Master was going to expel #PlayerName# from the sect.……
,,,右,,,,,,,"That's not quite true. Although Master flew into a rage, deep down, he has a heart of tofu behind his sharp words."
,玩家,,右,,,,,,,"Moreover, #PlayerName#'s Martial Arts are quite lacking as well.\nI saw it all and I was holding my breath for you too."
,,,左,,,,,,,"Hehe, Senior Apprentice Brother Gu, your martial arts are formidable. Only the eldest senior apprentice can outshine you. Today, my mediocre skills are truly a source of embarrassment."
,,,右,,,,,,,"We are fellow junior brothers in the same sect. What's there to find humor in?\n#PlayerName#, if you can muster courage after feeling ashamed, you are still worthy of being called a hero."
,,,右,,,,,,,"Alright then, since I have some free time today, I'll go ahead and give you some guidance."
,,,右,,,,,,,"Now that your foundation is unstable, you can't even perform the simplest Tai Zu Chang Quan smoothly. I think you need to first<b>Read the Grand Ancestor Long Fist Manual to accumulate theoretical experience.</b>That's enough."
,,,右,,,,,,,"I'll go first.<b>Our sect's Scripture Pavilion</b>Medium, bring out the Grand Ancestor Long Fist Manual. Get ready and come over; don't go wandering around again."
,,,左,,,,,GetBranchMission;28|PlotStartTutorial;基础界面,,"<b>Our sect's Scripture Pavilion</b>What? Yes! I'm coming right away, Senior Brother."
2,玩家,顾游年,左,藏经阁,,,,,,"Wow, our sect's library hall is adorned with exquisite carvings and paintings, filled with countless books. It truly is impressive."
,,,右,,,,,,,"Judging by your surprised tone, you probably haven't been here since you first entered, right?"
,,,左,close,,,,,,"Ah, this... hehe. Senior Brother, please tell me how to read this manual."
,,,右,,,,,,,"Ah... to master martial arts, you first need to study manuals. Martial arts are divided into four major categories: Internal Art, Movement Art, Special Techniques, and External Arts. Are you clear on this?"
,,,左,,,,,,,Senior Brother underestimates me. Isn't this something even a three-year-old would know?
,,,右,,,,,,,"Among these<b>Internal Art, Movement Art, Ultimate Skill</b>Once activated, it continuously provides a bonus effect. The higher the cultivation technique level, the stronger the bonus effect."
,,,右,,,,,,,"And<b>External Art</b>For example, the Taizu Long Fist is a truly effective offensive move in combat. The higher the External Art level, the stronger the attack power naturally becomes."
,,,左,,,,,,,"So that's why my Taizu Long Fist feels weak and limp, like I'm just massaging someone's back..."
,,,右,,,,,,,"#PlayerName#, you still have some self-awareness \nIt takes one martial art from grasping the basics to reaching the pinnacle, totaling <b>Tenth-stage Power Proficiency Realm</b>。"
,,,右,,,,,,,"Now that your Great Ancestor Long Fist technique is only at the third level of cultivation, its power is naturally weak. Therefore, the top priority right now is to focus on perfecting this Great Ancestor Long Fist technique."
,,,左,,,,,,,"Oh, I've been thinking the same thing. But how can I improve my Taizu Long Fist? Please enlighten me, Senior Brother!"
,,,右,,,,,,,"To advance your martial arts cultivation level, you need to accumulate sufficient<b>Theoretical Experience</b>And<b>Combat Experience</b>Both of these are indispensable."
,,,右,,,,,,,<b>Theoretical Experience</b>It is the book knowledge of a martial art. It can only be improved through reading manuals or receiving guidance from fellow practitioners.
,,,右,,,,,,,"I have found this manual for the Grandmaster Long Fist in our sect's library. Study it well first, and once you have a thorough grasp of the theory, I will teach you how to improve your practical skills."
,,,左,,,,,FinishEventMission|PlotStartTutorial;阅读藏书,,"Thanks for your efforts, Senior Brother. I'll go study it thoroughly right away."
3,玩家,顾游年,左,,,,,,,"Senior Brother, I have finished reading the Manual of Grand Ancestor's Long Fist."
,,,左,,,,,,,"Heh heh, no big deal not reading it, but boy, did I get a surprise when I did. My previous moves were indeed riddled with mistakes. No wonder Master flew into a rage."
,,,右,,,,,,,"#PlayerName# can easily spot their own mistakes with just a brief review.\nProgress is so rapid, it's making me take a second look."
,,,左,,,,,,,"#TargetInteractName#, you're flattering me too much \nIt's just the Great Ancestor Long Fist; it's as if I've mastered some world-shaking martial art."
,,,右,,,,,,,"For others, it might not be worth mentioning.\nBut it's already quite commendable for you, #PlayerName#, who are usually so lazy."
,,,左,,,,,,,"For a moment, I wasn't sure if #TargetInteractName# was praising me or insulting me."
,,,右,,,,,,,"Hehe, remember I said that a martial art requires<b>Both theoretical experience and practical experience are maxed out.</b>, to level up."
,,,右,,,,,,,"Now that you have mastered this Manual, obtain<b>Theoretical Experience</b>The next step should be learning how to obtain it.<b>Combat Experience</b>Alright."
,,,右,,,,,,,Combat experience refers to the practical application of martial arts. It can only be gained by practicing on the Training Grounds or engaging in real battles with others.
,,,右,,,,,,,"#PlayerName#, why don't you come with me to the training ground? I can guide you on how to obtain it.<b>Combat experience</b>！"
,,,左,,,,,FinishEventMission|PlotStartTutorial;进练武场,,"<b>Training Grounds</b>Sure, Senior Brother, I'll be right there."
4,玩家,顾游年,左,练武场,,,,,,"So this square is actually our school's Training Grounds. Whenever I passed by, I often heard shouting and thought they were slaughtering pigs!"
,,,右,,,,,,,"Ah, if I don't visit the Scripture Pavilion, I won't come to the Training Ground either.\n#PlayerName# after you started playing, didn't you just hang out in the dining hall and dormitory?"
,,,左,close,,,,,,"And the latrine... cough. Senior Brother, could you tell me how to improve <b>Combat Experience</b> Okay."
,,,右,,,,,,,"Ah... let's get down to business. To improve practical combat experience, you naturally need to practice on the Training Grounds."
,,,右,,,,,,,"When your External Art level is below three, your power is extremely weak. You need to practice on your own first to quickly gain practical experience."
,,,右,,,,,,,It won't be truly effective until your martial arts reach the fourth level and you use them in real combat against enemies.
,,,右,,,,,,,Your Great Ancestor Long Fist technique has just reached the third level. How about you practice it here first?
,,,右,,,,,,,"This self-practice method involves using your target technique to strike incoming arrows, thereby honing the force and accuracy of your moves and enhancing practical combat experience."
,,,右,,,,,,,"Don't worry about it for now. Just start practicing, and I'll guide you along the way when you run into any issues."
,,,左,,,,,FinishEventMission|PlotStartTutorial;自行练习,,"#TargetInteractName#, I'll go ahead and give it a shot."
5,玩家,顾游年,右,,,,,,,"You're hitting with real conviction. #PlayerName#, if you can maintain this momentum,\nIt won't be long before there's hope of surpassing me, Senior Brother."
,,,左,,,,,,,"Really? Hahaha! By then, Master will have to look at me in a whole new light!"
,,,右,,,,,,,"I was just paying you a compliment, but you took it seriously. Senior brother, I train diligently every day; how could I let a mere child like you surpass me so easily?"
,,,左,,,,,,,"Hehe, that's true..."
,,杨思迟,右,,,,,,,Whoosh!......Haa!......Whoosh!......Haa!
,,,左,,,,,,,"Speaking of diligence, #TargetInteractName# is the one who trains hardest in our sect.\nHe probably spends more than half of the twelve time periods practicing diligently here."
,,,右,,,,,,,"Hehe, #PlayerName#, don't tease me \nI am not very gifted, so I work hard to keep up with my senior and fellow brothers.\nSo he could only put in some dull effort and train day and night."
,,,右,,,,,,,"Well, even so, my martial arts progression is still excruciatingly slow.\nI hope that #PlayerName# and Senior Brother Gu will offer me much guidance in the future."
,,顾游年,右,,,,,,,"Yang Junior Disciple is being too modest. Though you've progressed slowly, at least you're a slow bird that takes off early.\nMaybe I even have a slight edge over #PlayerName#."
,,,左,,,,,,,"#TargetInteractName# I have to say, I'm not convinced.\nYang Sichi and I started at about the same time, so we're probably on par with each other."
,,,右,,,,,,,"Hehe, since you're not convinced, and we happen to have some time today, why don't you spar a few rounds with Brother Yang to settle things?"
,,,右,,,,,,,"Besides practicing on your own, causing damage to the opponent during sparring,\nCombat experience can accumulate rapidly with martial arts beyond the fourth level.\nYou can practice your half-baked Great Ancestor Long Fist."
,,杨思迟,右,,,,,,,"Ah, better not……\n#PlayerName# has exceptional talents; I am far from matching him.\nSenior Brother Gu, please don't force me to embarrass myself.……"
,,,左,,,,,,,"Fellow disciples refining martial arts through sparring and debating the way-what's there to be ashamed of?\n#TargetInteractName#, just come at me full tilt! I'll show you a few moves!"
,,,右,,,,,FightInteractHero;StudyFight-FightAddPlotDataBase~6/7----Arena,,"Alright... okay, #PlayerName#, please be gentle..."
6,玩家,杨思迟,右,,,,,ChangeHeroFavor;杨思迟-2,,"Well, #PlayerName#'s martial arts are incredibly strong... I'm truly far behind...."
,,,左,,,,,ChangePlotDataBase;8,,"Hahaha, you flatter me. Little Brother Yang's skills are also impressive and he has great potential as a master."
7,玩家,杨思迟,左,,,,,ChangeHeroFavor;杨思迟-2,,"Ah, Younger Brother Yang's skills are remarkably formidable. It seems hard work can make up for natural shortcomings-this saying holds true."
,,,右,,,,,ChangePlotDataBase;8,,"Thank you for yielding \nHad #PlayerName# not shown mercy, I probably would have ended up with a black eye and a tail between my legs."
8,玩家,魏胥华,右,,,,,,,"Alright, alright, your two amateur skills,\nWe fought for half a day with your punch and my kick, and I was almost dozing off."
,,,左,,,,,,,"Big... Elder Brother? Hehe, we've only just started our training, so our martial arts skills are naturally not up to par."
,,,右,,,,,,,Hmph! You two better hurry up and train. The Xianxia Sect doesn't keep idle hands around!
,,顾游年,右,,,,,,,"Ah, Big Senior Brother may be cold-faced but warm-hearted. What he says about you, #PlayerName#, you don't need to take too seriously."
,,,右,,,,,,,"#PlayerName#, your Great Ancestor Long Fist should have progressed through this sparring.\nThis is precisely how one gains practical experience through combat."
,,,左,,,,,,,"I understand, by<b>Gaining theoretical experience by reading in the Scripture Pavilion</b>, through<b>Gain practical experience through training and sparring in the martial arts arena.</b>When these two types of experience accumulate enough, you can advance your martial arts realm level."
,,,右,,,,,,,"The pupil is teachable, but the higher the martial arts realm, the more experience is required. Only through relentless practice day and night can one make progress."
,,,右,,,,,,,"#PlayerName#, your Great Ancestor Long Fist is still at the third or fourth level of power.\nIn my opinion, it will take another month to boost the power to the next level."
,,,左,,,,,,,"A whole month?! This Grand Ancestor Fist is one of the most basic fist techniques in the martial world. If it takes a month to master this, when will I ever become a great martial hero?"
,,,右,,,,,,,"Heh, what did you expect? Who lets you slack off all day and shirk your responsibilities?"
,,,左,,,,,,,"I haven't heard of Senior Apprentice Brother Gu before. Does that mean one should look at someone with new eyes after three days? Today, after listening to Master and Senior Apprentice Brother Gu's teachings, I've resolved to reform and diligently practice my skills!"
,,,右,,,,,,,"(#$PlayerName# is young and full of energy; you might try flattering him into anger.)\nOh wow? I don't believe that. If #PlayerName# works hard on their cultivation, wouldn't the sun rise in the west?"
,,,右,,,,,,,"Why don't we make a bet then!\nIf #PlayerName# can <b>In a month, elevate the Great Ancestor Long Fist by one level of power.</b>，\nI will willingly offer you the secret technique I happened to obtain a few days ago. What do you think?"
,,,左,,,,,,,"Heh, let's make a deal! It's just the Great Ancestor Long Fist. I'll definitely advance to the next level within a month and have Senior Brother Gu take notice!"
,,杨思迟,右,,,,,FinishEventMission|GetStartMission|PlotSetTutorialNoLeaveBuilding;false|PlotStartTutorial;同门切磋,,"Oh oh, #PlayerName# really seems full of energy today.\nI can't fall behind either; I'll have to step up my efforts!\nHo!.....Ha!.....Ho!.....Ha!"
9,玩家,,左,,,,,,,"Ah, this Taizu Long Fist may seem simple, but it's the foundation of a hundred fists. Once you start practicing, you lose track of time without even realizing it."
,,,左,,,,,,,"A single punch sends gusts of wind, it seems my skill has advanced to the next level. Heh heh, time to find Brother Gu and fulfill our bet."
10,玩家,顾游年,左,,,,,,,"Haha, #TargetInteractName#, good morning!\nI observed the stars last night and calculated that #TargetInteractName# you will have to spend some money today!"
,,,右,,,,,,,Oh? What do you mean by that?
,,,左,,,,,,,"#TargetInteractName# won't forget our bet, right?\nMy Great Ancestor Long Fist technique is already at the next level after a month of practice.\n#TargetInteractName#, if you don't believe me, why not try it out!"
,,,右,,,,,,,"No need to do so, #PlayerName# has been making incredible progress in his recent diligent training. I've seen it with my own eyes.\nHowever, you should know that while the Great Ancestor Long Fist is one of the simplest fist techniques, it contains numerous profound principles."
,,,右,,,,,,,"Legend has it that Emperor Taizu, Guo Wei of this dynasty, created this martial art set to guide the people in training with simple techniques, strengthening their bodies and building a strong military."
,,,右,,,,,,,"Thus, in the martial world, whether it's the masters or apprentices, everyone starts their martial arts journey with the Grand Ancestral Long Fist, step by step."
,,,右,,,,,,,"No matter how extraordinary or unique a martial art is, the methods of cultivation ultimately resemble those of Grand Ancestor Long Boxing. They all involve constantly enhancing theoretical knowledge and practical experience until reaching the pinnacle."
,,,右,,,,,,,I hope that #PlayerName# can begin with the Great Ancestor Long Fist.\nContinuously train martial arts to advance in cultivation.
,,,右,,,,,,,"I hope one day you'll truly surpass me, becoming a hero who can stand on your own and strike fear into the hearts of the martial world. That would make all my efforts worthwhile."
,,,左,,,,,,,I wonder why #TargetInteractName# suddenly made a bet.\nIt turns out it was a taunt to motivate me to work hard on my cultivation!
,,,右,,,,,GetSpeReward;0,,"Well, however it turns out, I Gu Younian accept my loss.\nToo bad this secret technique will end up being wasted on #PlayerName#.\nNext!"
,,,左,,,,,,,"This is... the ""Essence of Sword Control"" manual?"
,,,右,,,,,,,"Not bad. Our sect is renowned for its sword techniques in Bashu, and the Sect Leader is even feared for his Faint Shadow Chaotic Sword.\nIf #PlayerName# were to fully master the Great Ancestor Long Fist, outsiders might laugh their heads off when they see it."
,,,右,,,,,,,"This ""Essential Sword"" is the foundation of Sword. Study it well. Once mastered, you may advance to our higher-level martial arts, such as ""Linked Ring Sword"" and ""Meteor Strike Sword Art."""
,,,左,,,,,ChangeHeroFavor;顾游年-3,,"Thanks, Senior Brother! I will study it carefully and not waste your efforts."
,,,右,,,,,,,"Actions speak louder than words, exactly.<b>February 15th</b>Approaching, our school will hold its annual<b>Clan Tournament</b>。"
,,,右,,,,,,,"When the big competition comes around, if you've made no progress at all, don't blame me for showing no mercy on the arena and beating you until you cry for your parents!"
,,,左,,,,,UpgradeHeroSkill;玩家-12,,"Uh... hahaha, no need to flatter me. I'll start practicing right away, right away..."
,,,左,,,,,FinishEventMission|GetStartStudySkillBranchMission|PlotStartTutorial;阅读秘籍,,(It seems I need to diligently cultivate this Grand Ancestral Long Fist to the tenth level before I can <b>February 15th Sect Grand Competition</b> Go ahead and really make a name for yourself!）
11,玩家,姜映泉,右,,,,,,,#PlayerName# you've been part of the sect for months already. Are you getting used to living on this mountain?
,,,左,,,,,,,"Report to #TargetInteractName#, though this mountain is somewhat isolated from the world,\nBut the beauty lies in its scenic charm and fragrant flowers and birdsong."
,,,左,,,,,,,"To practice martial arts and heed the earnest teachings of Master in such a serene place,\nIt is precisely what the apprentice has long desired."
,,,右,,,,,,,"Haha, while the Xianxia Sect may be located in a remote area, it's not entirely cut off from the world."
,,,右,,,,,,,"Free time permitting, let Senior Brother take you to Jiangling City nearby for a stroll. It will broaden your horizons."
,,,右,,,,,,,"You've probably met your few senior brothers and sisters already, have you gotten along with them?"
,,,左,,,,,,,"Met met, Yang Sichi Senior Brother entered the door around the same time as me, so we often spar together."
,,,左,,,,,,,"Senior Brother Gu Younian and Sister Jiang Wan are the most kind to me, and they take particularly good care of me in everyday life."
,,,左,,,,,,,"Scen Tui, Senior Brother, and Sister Yu Caiwei have exceptionally high martial talent and often guide me in practicing martial arts.\nJust Big Senior Brother Wei Xuhua……"
,,,右,,,,,,,"Haha, what's wrong with Xu Hua? He was the one who mocked you mercilessly and did his best to undermine you!"
,,,左,,,,,,,"#TargetInteractName#, I may be unskilled, and Big Senior Brother also hates to see iron that doesn't become steel.……"
,,,右,,,,,,,"Ah, Master naturally understands Xu Hua's temperament \nHe grew up orphaned and became a disciple of the Xianxia Sect from a young age, showing unwavering loyalty to his own sect."
,,,右,,,,,,,"Though as the Big Senior Brother, Xu Hua's personality is not particularly steady, he instead comes across as rebellious and unruly.\nBut he isn't without virtue, and certainly not a villain.——Otherwise, my master would have cleaned house long ago."
,,,右,,,,,,,"Just this tendency to be cynical and hurt people with one's words-my mentor has criticized me for it many times.\nWhile empires can be transformed, one's nature resists change."
,,,右,,,,,,,"So you don't need to worry about what Xu Hua said; just focus on practicing your skills.\nGiven time, once he achieves martial prowess, he will look at you with new eyes."
,,,左,,,,,,,"Yes, disciple will not fail #TargetInteractName#'s expectations!"
,,,右,,,,,,,"Hmhm, you have potential \nMaster, I've noticed since you came up the mountain that you've lacked a suitable weapon, so you've had to practice with a wooden sword."
,,,右,,,,,GetSpeReward;1,,"My senior brother Gu Younian used this iron sword when he first joined our sect.\nThough not particularly sharp, it suits beginners well. You can take it and use it first."
,,,右,,,,,ChangeTargetInteractHeroFavor;2,,"Just remember, a gentleman harbors talent and waits for the right moment to act.\nDo not use this sword for unlawful acts or reckless fighting."
,,,左,,,,,PlotStartTutorial;打开详情,,"Haha, my disciple finally has his own sword too!\nThank you, master. I'll go try my skills right away!"
12,玩家,魏胥华,右,,,,,,,"Hey, today you managed to wake up without sleeping in, #PlayerName#."
,,,左,,,,,,,"Recently, after listening to Master's teachings, I have resolved to work hard on my cultivation!"
,,,右,,,,,,,"#PlayerName# wants to train hard? That's like the sun rising in the west.\nYou don't have the temperament to hold out for long; before you know it, you'll start dabbling again."
,,,左,,,,,,,"I've made up my mind, #TargetInteractName#, why are you still mocking me here?"
,,,右,,,,,,,"Hmph. In the Jianghu, the road is long and hearts are treacherous.\nIf you can't handle a few barbs and taunts, it's best to go home early!"
,,,左,,,,,,,"Harsh criticism doesn't bother me, but as Big Senior Brother #TargetInteractName#,\nWhy don't you recall the brotherhood among fellow disciples and constantly make life difficult for this outer gate disciple?"
,,,右,,,,,,,"Not bad. As fellow members of the Xianxia Sect, our seniority bonds are indeed genuine.\nBut in the Jianghu, conflicts are perilous and ever-changing, with no room for emotions or loyalties."
,,,右,,,,,,,"Senior Brother, I fear that you will one day experience the true bloodshed and slaughter, life-and-death combat.\nIf you want to back out at the last minute and drag the Xianxia Sect down, that wouldn't be very wise, would it?"
,,,右,,,,,,,"So I advise you to give up sooner rather than later. Senior Brother, I'd be happy to help plead your case with Master.\nLet Master give you more travel money to send you on your way down the mountain."
,,,右,,,,,,,"Go to the foot of the mountain and buy a few acres of land to be a leisurely farmer. Spend your days weeding and feeding the cows.\nAt least it's better than ending up nowhere in the Jianghu and dying a mysterious death, right?"
,,,左,,,,,,,"As I have joined the Xianxia Sect, I naturally stand alongside my Senior Brothers and Fellow Brothers, never shirking in battle!\nBetter to die at someone's hands than to survive by compromising!"
,,,右,,,,,,,"Haha, I didn't expect #PlayerName# to have a bit of backbone.\nUnfortunately, in this Jianghu, only strength matters, not honor!\nAnd if disaster truly does strike one day, don't count on my helping you even if you stay."
,,,左,,,,,ChangeTargetInteractHeroFavor;1,,"Hmph, don't bother with that!"
13,玩家,余采薇,右,,,,,,,"Drank hundreds of chimes of golden waves……Drunk, I wield my sword at the void.……\nFoot root play dodging and intersecting combat……A loud roar dyed heaven and earth red……"
,,,左,,,,,,,"#TargetInteractName#, good mood indeed, composing poems here!"
,,,右,,,,,,,"Oh, it's #PlayerName#!\nThis is the mantra for a sword technique. I just ran through it in my mind and mused for a long while before losing concentration."
,,,左,,,,,,,Could this really be the chant for a sword technique? I can't make it out at all.
,,,右,,,,,,,"You see this first line: Thirsty, drink hundreds of chimes of golden waves.\nThis first move raises the sword to face front like lifting a glass.\nThis opening move is indeed a timing opportunity, combining attack and defense.\nThe Eight Immortals' sword technique has a move called Waist Probe for Wine Offer, which is similarly ingenious."
,,,右,,,,,,,"The second line reads: Drunkenly, he wields his sword at the void.\nThen there is a sword technique where the sword is raised and stabbed upward.\nAfter the sword was thrust out, the central gate was left wide open,\nTherefore, the sword technique should carry three parts of intoxication, reserving it for a counterattack. Hence, this is a feint."
,,,右,,,,,,,"In the third sentence, foot root playfully dances in combat, this phrase is quite difficult to comprehend.\nIt seems to require a fickle, unrestrained footwork to complement the sword techniques, thus controlling the distance from the enemy."
,,,右,,,,,,,"The fourth phrase: a long howl turns heaven and earth red.\nThis move extends the sword's reach for a long-distance strike, sharp as a piercing scream.\nWhen the sky turns red, this sword will always draw blood.\nThus, this final move is a killing blow within kills!"
,,,左,,,,,ChangePlayerFightSkill;4-1,,"Got it!\nI never expected that a seven-character jueju could contain such complex sword techniques!\n#TargetInteractName# has such profound martial arts cultivation; in the future, I will rely on you for more guidance."
,,,右,,,,,,,"#PlayerName#, you're giving me too much credit. My insights are hardly worth mentioning in front of true martial arts masters!"
,,,右,,,,,,,"But martial arts exchange knows no size\n#PlayerName#, if you encounter any difficulties while training, feel free to come ask me."
,,,左,,,,,,,"Thank you for your help, #TargetInteractName#"
,,,右,,,,,,,"It's okay, it's okay……\nI need to carefully study this third step in the Root Play Step Method for Dry and Moisture Combat.\nYou must overlap your feet, with the heel of one foot against the ball of the other, making your steps scattered yet orderly. This will confuse your opponent and give you an advantage.……"
,,,左,,,,,,,"I won't bother you then, #TargetInteractName#. I'll take my leave."
,,,右,,,,,ChangeFightSkill;余采薇-4-3,,"If one cannot control the distance well, it will be hard to generate power, and one will not be able to catch the opponent off guard.\nUsing this fourth secret technique would significantly weaken its power.……\nIf the first strike misses, how should the follow-up move connect?……"
,,,左,,,,,,,…………
,,,右,,,,,,,"Ah, #PlayerName#, you're still here. Is there anything you need?"
,,,左,,,,,ChangeTargetInteractHeroFavor;2,,"Oh, nothing to do. Goodbye, goodbye."
14,玩家,沈退,右,,,,,,,"(swaying and humming)\nOh!……Face aligned. Heart sharp and clever. Eyebrows long, eyes extending to the hairline.\nNosy and small-mouthed, with a neck as pure as jade and hair like clouds. Eyebrows carved like blades.……"
,,,右,,,,,,,"Oh wow~Good morning, #PlayerName#\nThe weather today is quite pleasant. Why don't we descend the mountain together and head to Jiangling City to listen to a few small tunes for some merriment!"
,,,左,,,,,,,#TargetInteractName# is joking around again \nWhile Master specifically instructed them to diligently practice within the temple these days and not venture down the mountain casually.
,,,右,,,,,,,"Aiyah, just sneak down the mountain!\nMaster is too busy to notice"
,,,左,,,,,,,"No no, Senior Brother, you should go by yourself.\nIf Master discovers that I have been slacking off again, he will likely punish me severely once more."
,,,右,,,,,,,"#PlayerName# how can you be like your Junior Disciple Si Chi, day after day just practicing cultivation. Don't you fear that you might get bored to death?"
,,,右,,,,,,,"Drunk today, drunk today; life is short, so enjoy it to the fullest.\nYou see, Senior Brother, I may seem laid-back, but my martial arts cultivation hasn't fallen behind much."
,,,左,,,,,,,"#TargetInteractName# has progressed rapidly; naturally, he has time for such trivialities as cockfighting and dog-racing.\nMy foundation with Senior Brother Yang is still shallow; we must study and practice more diligently."
,,,右,,,,,,,"Sigh, forget it, fussing over details, no use trying to carve rotten wood.\nSenior Brother, I'll take my leave first. Off to have a good time!~"
,,,右,,,,,,,"By the way, #PlayerName#, don't go telling Master on me!"
,,,左,,,,,ChangeTargetInteractHeroFavor;1,,"Not at all, have a nice day.#TargetInteractName#……"
15,玩家,姜婉,左,,,,,,,"#TargetInteractName#, it's been a few days, but you're still captivating as ever."
,,,右,,,,,,,"Just because you're so talkative, does that mean you've caused trouble again and are asking me to plead with Master on your behalf?"
,,,左,,,,,,,"No, no, I was just expressing my feelings. #TargetInteractName#, you must not think too little of me."
,,,右,,,,,,,"Haha, since you and Si Chi began your training, Master has had plenty on his hands taking care of both of you.\nYou should also train hard and learn martial arts to help your sect alleviate its burdens sooner."
,,,左,,,,,,,"Yes~Yes~#TargetInteractName#, relax,\nThe heavy responsibility of reviving our sect falls on {#$PlayerName#}'s shoulder!"
,,,右,,,,,,,"Yet so talkative!\n……As the cold air on Tianshan mountain has been biting these days, how can you still be wearing just this single-layered robe?\nIf we fall ill, how can we revive the Xianxia Sect?"
,,,右,,,,,GetSpeReward;115,,"I fetched this thick coat from the granary yesterday. You should put it on first.\nIn Si Chi's place, I'll go find one for him too."
,,,左,,,,,,,"Thanks, #TargetInteractName#. You're still the best to me.~\nMother's loving hands sew clothes for her wandering son."
,,,右,,,,,,,What merciful mother's thread could age me so!\nAre you saying then that your master and senior brother haven't been good to you?
,,,左,,,,,,,"Oh, they are good too \nBut still, #TargetInteractName# falls short in warmth and attentiveness compared to a gentle spring breeze."
,,,右,,,,,ChangeTargetInteractHeroFavor;3,,"So practice your skills well in consideration of Senior Sister's face.\nDon't make Master angry again, okay?~"
,,,左,,,,,PlotStartTutorial;打开详情,,"Yes, don't worry, senior."
16,玩家,杨思迟,右,,,,,,,Let the breath sink to the lower abdomen… Hah!… Swing the fist with a bow stance… Ah!\nLet the breath sink to the lower abdomen… Hah!… Swing the fist with a bow stance… Ah!
