# Explicit/special display-only canonical NPC names. Procedural names use NameData romanization.
中年赵胤宗	Zhongnian Zhao Yinzong
项元霸	Xiang Yuanba
项问天	Xiang Wentian
顾游年	Gu Younian
马丹心	Ma Danxin
马宝郭	Ma Baoguo
马应龙	Ma Yinglong
马超群	Ma Chaoqun
魏胥华	Wei Xuhua
龙凝霜	Long Ningshuang
龙凤娥	Long Feng’e
冯虎	Feng Hu
刘豹	Liu Bao
北怪	Bei Guai
南丑	Nan Chou
叶寒	Ye Han
吴忧	Wu You
吴谋	Wu Mou
唐离	Tang Li
地缺	Di Que
天残	Tian Can
姜婉	Jiang Wan
幽冥	Youming
张峻	Zhang Jun
彗定	Hui Ding
戴壮	Dai Zhuang
曲特	Quet
朱全	Zhu Quan
残阳	Canyang
汪财	Wang Cai
沈蛟	Shen Jiao
沈退	Shen Tui
清风	Qingfeng
熊刚	Xiong Gang
牛头	Niutou
狄坤	Di Kun
王伦	Wang Lun
王彪	Wang Biao
王霸	Wang Ba
血刃	Xue Ren
裘龙	Qiu Long
费彬	Fei Bin
郭淮	Guo Huai
阮芷	Ruan Zhi
陆奇	Lu Qi
陆离	Lu Li
雷彤	Lei Tong
韩嵩	Han Song
韩狼	Han Lang
马悍	Ma Han
马面	Mamian
高首	Gao Shou
魅影	Meiying
黄泉	Huangquan
黄豺	Huangchai
齐焱	Qi Yan
龙灭	Long Mie

# TEST40 explicit recurring NPC display names from Latest 2000 wave
欧阳昭紫	Ouyang Zhaozi
国至横	Guo Zhiheng
毋缺	Wu Que
寿春来	Shou Chunlai
司马风	Sima Feng
欧阳艺棠	Ouyang Yitang
井荫	Jing Yin
蔚汇俊	Wei Huijun
令狐冬博	Linghu Dongbo
邱剑断	Qiu Jianduan
万梧准	Wan Wuzhun
孙容	Sun Rong
封琪里	Feng Qili
茅影脉	Mao Yingmai
曹陵龙	Cao Linglong
蔡共离	Cai Gongli
南门晶	Nanmen Jing
苏四火	Su Sihuo
越跃	Yue Yue
奚潮	Xi Chao
甄铸壬	Zhen Zhuren
贡双粉	Gong Shuangfen
嵇同仪	Ji Tongyi
狄雪	Di Xue
刘铁	Liu Tie
范琪漆	Fan Qiqi
吉净	Ji Jing
阮克领	Ruan Keling
秦勇己	Qin Yongji
伯燃	Bo Ran
谭承	Tan Cheng
席纪好	Xi Jihao
慕后卷	Mu Houjuan
吕丹荷	Lu Danhe
宋形语	Song Xingyu
令狐界	Linghu Jie
强泪欢	Qiang Leihuan
丰翠	Feng Cui
冀朵	Ji Duo
陈影显	Chen Yingxian
归玲	Gui Ling
牟敏破	Mou Minpo
魏兆晶	Wei Zhaojing
能霖桑	Neng Linsang
益蕾	Yi Lei
查紫秋	Zha Ziqiu
薛浓白	Xue Nongbai
路泽御	Lu Zeyu
丰丝彤	Feng Sitong
苍麻溪	Cang Maxi
徐炼栗	Xu Lianli
惠藤金	Hui Tengjin
钦潮追	Qin Chaozhui
盛橙	Sheng Cheng
何绿鱼	He Luyu
党倾颖	Dang Qingying
扈冶秉	Hu Yebing
红枪兆	Hong Qiangzhao
乌直	Wu Zhi
钟目效	Zhong Muxiao
商入	Shang Ru
杭亭	Hang Ting
牛继	Niu Ji
后磊	Hou Lei
顾亘侠	Gu Genxia
蒙延力	Meng Yanli
党全末	Dang Quanmo
周袖	Zhou Xiu
陈醉炎	Chen Zuiyan
咸丑果	Xian Chouguo
井运鹤	Jing Yunhe
禹学寒	Yu Xuehan
乐盈华	Yue Yinghua
鱼稚	Yu Zhi
连染盈	Lian Ranying
花稚琴	Hua Zhiqin
向复克	Xiang Fuke
皇甫新炎	Huangfu Xinyan
赵宛乐	Zhao Wanle
周郎	Zhou Lang
能冷梓	Neng Lengzi
查笛	Zha Di
鲜于煌感	Xianyu Huanggan
满琴琦	Man Qinqi
汪间宛	Wang Jianwan
能衡	Neng Heng
赫连弘宽	Helian Hongkuan
申复黑	Shen Fuhei
温暖	Wen Nuan

# TEST42 latest procedural NPC names + normalized compound surnames
鱼爱昭	Yu Aizhao
林圭楼	Lin Guilou
柯楼单	Ke Loudan
阙烛凤	Que Zhufeng
韦质轮	Wei Zhilun
路达	Lu Da
龙晃京	Long Huangjing
宋涓倾	Song Juanqing
吉蒲	Ji Pu
翁殿富	Weng Dianfu
石同	Shi Tong
狄曳华	Di Yehua
梁勇宽	Liang Yongkuan
况妃颜	Kuang Feiyan
何相	He Xiang
戚武乌	Qi Wuwu
凤留猛	Feng Liumeng
吕境	Lu Jing
谯熔登	Qiao Rongdeng
东门长群	Dongmen Zhangqun
印院	Yin Yuan
易尖耀	Yi Jianyao
束玉裕	Shu Yuyu
伏冶	Fu Ye
仇侠	Qiu Xia
上官秀奕	Shangguan Xiuyi
蒯雪台	Kuai Xuetai
萧嘉真	Xiao Jiazhen
苏轮侠	Su Lunxia
蓬宝峰	Peng Baofeng
咸陵朗	Xian Linglang
惠陆苍	Hui Lucang
南宫代丁	Nangong Daiding
单斌顺	Shan Binshun
钦虹怡	Qin Hongyi
宣好	Xuan Hao
宋华福	Song Huafu
温琴璐	Wen Qinlu
东郭沉媛	Dongguo Chenyuan
独孤俪燕	Dugu Liyan
后望寻	Hou Wangxun
寿梓幻	Shou Zihuan
能化龙	Neng Hualong
梅雯	Mei Wen
冯鱼茜	Feng Yuqian
费祈摇	Fei Qiyao
晋香离	Jin Xiangli
应志潜	Ying Zhiqian
贲华	Ben Hua
曾泽苏	Zeng Zesu
舒延	Shu Yan
言效锋	Yan Xiaofeng
嵇弋	Ji Yi
夏侯河绫	Xiahou Heling
厉飞	Li Fei
应虹	Ying Hong
阮蕙范	Ruan Huifan
慕容桐堂	Murong Tongtang
亢仁客	Kang Renke
秦语诚	Qin Yucheng
乐妃外	Yue Feiwai
南宫白	Nangong Bai
上官绫	Shangguan Ling
